APPLYER_ID,SEX,CERT_TYPE,MARRIAGE_STATUS,AGE,IS_HAS_DRIVING_LICENSE,EDUCATION,IS_OWN_ESTATE,PROPERTY_OWNER,PROPERTY_LOAN,PROPERTY_ADD_TYPE,PROPERTY_LOCATION,INCOME_YEAR,MAIN_INCOME_FROM,CUS_CATEGORY,IDCARD_CHECKFLAG,JOB_INDUSTRY,JOB_POSITION,JOB_MONTH,JOB_COMP_INDUSTRY,Y
6471195,M,IdentityCard,Single,28,Has,SeniorMiddleSchool,N,,,,,60000,,,Y,,,,,0
6471239,M,IdentityCard,,33,Has,AssociateDegree,,,,,,60000,,,N,,,,,0
5063627,M,IdentityCard,,36,Has,AssociateDegree,,,,,,110000,,,Y,,,,,0
5063630,F,IdentityCard,,37,Has,SeniorMiddleSchool,,,,,,80000,,,Y,,,,,0
5063655,F,IdentityCard,,32,Has,AssociateDegree,,,,,,100000,,,Y,,,,,0
5063673,M,IdentityCard,Married,37,Has,Bachelor,Y,ApplyerOwn,N,CurrAddr,Local,150000,,,N,,,,,0
3915999,F,IdentityCard,,50,No,SeniorMiddleSchool,,,,,,50000,,,N,,,,,0
3916001,F,IdentityCard,,48,Has,Bachelor,,,,,,50000,,,N,,,,,0
3916009,F,IdentityCard,Single,39,Has,AssociateDegree,Y,Other,Y,CurrAddr,Local,70000,,,H,,,,,0
3916018,M,IdentityCard,Married,48,Has,AssociateDegree,Y,ApplyerOwn,N,CurrAddr,Local,80000,,,Y,,,,,0
3916030,M,IdentityCard,Single,33,Has,AssociateDegree,N,,,,,80000,Revenue,10,Y,,,,,0
3916035,F,IdentityCard,Single,43,Has,Master,Y,ApplyerOwn,Y,CurrAddr,Local,71000,,,Y,,,,,0
3916036,F,IdentityCard,,56,No,SecondaryTechnology,,,,,,50000,,,Y,,,,,0
3916048,F,IdentityCard,,32,Has,AssociateDegree,,,,,,50000,,,N,,,,,0
3916053,M,IdentityCard,Married,62,Has,SeniorMiddleSchool,N,,,,,60000,Salary,40,Y,,,,,0
3916065,M,IdentityCard,Married,36,Has,JuniormiddleSchool,Y,ApplyerOwn,N,CurrAddr,Local,60000,,,Y,,,,,0
3916078,F,IdentityCard,,46,Has,AssociateDegree,,,,,,60000,,,Y,Clerk,Manage,241,,0
6471054,F,IdentityCard,,38,Has,Bachelor,,,,,,100000,,,Y,,,,,0
6471061,F,IdentityCard,,30,No,AssociateDegree,,,,,,0,,,Y,,,,,0
6471080,M,IdentityCard,Married,38,Has,AssociateDegree,N,,,,,80000,,,Y,OperatingMechanic,Seniormanager,140,C,0
6471091,F,IdentityCard,,28,No,AssociateDegree,,,,,,80000,,,Y,,,,,0
6471112,M,IdentityCard,,41,Has,SecondaryTechnology,,,,,,100000,,,N,,,,,0
6471125,F,IdentityCard,Single,47,Has,AssociateDegree,Y,SpouseOwn,N,RegiAddr,Local,100000,,,Y,,,,,0
6471131,M,IdentityCard,Single,34,Has,Bachelor,N,,,,,80000,,,Y,,,,,0
5063531,F,IdentityCard,Single,28,Has,AssociateDegree,N,,,,,80000,,,Y,,,,,0
5063552,M,IdentityCard,,31,Has,AssociateDegree,,,,,,80000,,,Y,,,,,0
5063562,F,IdentityCard,,40,No,Technology,,,,,,0,,,N,,,,,0
5063588,F,IdentityCard,,53,Has,SecondaryTechnology,,,,,,120000,,,N,,,,,0
5063592,M,IdentityCard,Single,39,Has,Bachelor,Y,ApplyerOwn,N,RegiAddr,Local,200000,,,Y,,,,,0
5063603,M,IdentityCard,,38,Has,SeniorMiddleSchool,,,,,,100000,,,Y,,,,,0
5063610,F,IdentityCard,,34,No,SeniorMiddleSchool,,,,,,20000,,,N,,,,,0
5063617,M,IdentityCard,Single,26,Has,AssociateDegree,N,,,,,50000,Salary,40,Y,,,,,0
6471359,F,IdentityCard,,30,No,AssociateDegree,,,,,,60000,,,Y,,,,,0
6471369,M,IdentityCard,Married,43,Has,SeniorMiddleSchool,Y,ApplyerOwn,N,CurrAddr,Local,150000,,,Y,,,,,0
6471409,F,IdentityCard,Married,41,Has,AssociateDegree,Y,ApplyerOwn,N,CurrAddr,Local,120000,,,Y,,,,,0
6471421,M,IdentityCard,,39,No,SecondaryTechnology,,,,,,90000,,,Y,,,,,0
5063823,F,IdentityCard,,31,Has,AssociateDegree,,,,,,0,,,N,,,,,0
5063830,F,IdentityCard,,31,Has,AssociateDegree,,,,,,100000,,,Y,,,,,0
5063842,F,IdentityCard,,34,Has,AssociateDegree,,,,,,50000,,,Y,,,,,0
5063851,M,IdentityCard,,30,Has,AssociateDegree,,,,,,45000,,,Y,,,,,0
5063858,M,IdentityCard,Single,31,Has,Bachelor,Y,ApplyerOwn,N,RegiAddr,Local,120000,,,Y,,,,,0
5063872,F,IdentityCard,,26,Has,AssociateDegree,,,,,,60000,,,Y,,,,,0
5063878,M,IdentityCard,,34,Has,AssociateDegree,,,,,,120000,,,Y,,,,,0
5063896,M,IdentityCard,,28,Has,SecondaryTechnology,,,,,,50000,,,Y,,,,,0
5063906,M,IdentityCard,,38,Has,AssociateDegree,,,,,,80000,,,Y,,,,,0
5063911,F,IdentityCard,Single,26,Has,AssociateDegree,N,,,,Local,95000,,,Y,Clerk,Eployee,81,O,0
5063695,M,IdentityCard,,36,No,AssociateDegree,,,,,,40000,,,Y,,,,,0
5063700,F,IdentityCard,Married,47,Has,AssociateDegree,N,,,,,100000,Revenue,20,Y,,,,,0
5063715,F,IdentityCard,,32,Has,Master,,,,,,90000,,,Y,,,,,0
6317434,M,IdentityCard,Single,23,Has,AssociateDegree,N,,,,,48000,Salary,40,Y,,,,,0
6317450,F,IdentityCard,Single,30,Has,AssociateDegree,N,,,,,75000,,,Y,,,,,0
6317466,F,IdentityCard,,32,Has,SeniorMiddleSchool,,,,,,20000,,,Y,,,,,0
6317475,M,IdentityCard,,31,No,Bachelor,,,,,,84000,,,Y,,,,,0
6317476,F,IdentityCard,Married,29,Has,Bachelor,N,,,,,60000,,,Y,Other,Eployee,62,P,0
6317485,F,IdentityCard,,56,Has,AssociateDegree,,,,,,50000,,,Y,,,,,0
6317521,M,IdentityCard,,31,Has,Bachelor,,,,,,100000,,,Y,,,,,0
3916191,M,IdentityCard,,50,Has,AssociateDegree,,,,,,50000,,,Y,OperatingMechanic,Other,114,,0
3916197,F,IdentityCard,,48,Has,AssociateDegree,,,,,,80000,,,Y,,,,,0
3916207,M,IdentityCard,,35,No,AssociateDegree,,,,,,80000,,,Y,CommerceService,Eployee,124,,0
3916218,M,IdentityCard,Single,29,Has,AssociateDegree,N,,,,Local,80000,,,Y,,,,,0
3916223,M,IdentityCard,,44,Has,Bachelor,,,,,,60000,,,Y,,,,,0
3916229,F,IdentityCard,Single,28,Has,Technology,N,,,,,120000,Salary,40,Y,,,,,0
3916234,M,IdentityCard,Single,40,Has,Bachelor,N,,,,,80000,,,Y,,,,,0
3916250,F,IdentityCard,,62,Has,Bachelor,,,,,,500000,,,N,CommerceService,Seniormanager,176,,0
3916258,M,IdentityCard,Single,31,Has,JuniormiddleSchool,N,,,,,60000,,,Y,,,,,0
3916266,M,IdentityCard,Married,54,Has,Technology,N,,,,Local,70000,,,Y,,,,,0
3916271,M,IdentityCard,Single,34,Has,SeniorMiddleSchool,N,,,,,100000,,,Y,,,,,0
3916278,M,IdentityCard,Married,45,Has,AssociateDegree,N,,,,,50000,Salary,30,Y,,,,,0
6471295,F,IdentityCard,Married,28,Training,Bachelor,N,,,,,100000,,,Y,,,,,0
6471315,F,IdentityCard,,45,No,JuniormiddleSchool,,,,,,50000,,,Y,,,,,0
6471324,M,IdentityCard,,27,Has,SeniorMiddleSchool,,,,,,0,,,Y,,,,,0
6471333,F,IdentityCard,,50,Has,Bachelor,,,,,,20000,,,Y,,,,,0
5063722,M,IdentityCard,Single,36,Has,SeniorMiddleSchool,N,,,,,120000,,,Y,,,,,0
5063729,M,IdentityCard,Married,46,Has,AssociateDegree,N,,,,,150000,Salary,40,Y,,,,,0
5063744,M,IdentityCard,Married,46,Has,AssociateDegree,N,,,,,60000,,,Y,,,,,0
5063750,F,IdentityCard,Single,27,Has,SeniorMiddleSchool,N,,,,,70000,,,Y,,,,,0
5063758,M,IdentityCard,,53,,,,,,,,70000,,,N,,,,,0
5063763,F,IdentityCard,,37,Has,AssociateDegree,,,,,,50000,,,Y,,,,,0
5063776,F,IdentityCard,,34,Has,AssociateDegree,,,,,,50000,,,Y,,,,,0
5063786,M,IdentityCard,,34,Has,Technology,,,,,,80000,,,Y,,,,,0
5063805,F,IdentityCard,,52,,,,,,,,0,,,N,,,,,0
6317529,M,IdentityCard,,29,Has,AssociateDegree,,,,,,100000,,,Y,,,,,0
6317540,M,IdentityCard,Single,27,Has,AssociateDegree,Y,ApplyerOwn,N,CurrAddr,Local,80000,Salary,40,Y,,,,,0
6317547,F,IdentityCard,,39,No,AssociateDegree,,,,,,40000,,,Y,,,,,0
6317565,M,IdentityCard,,41,Has,AssociateDegree,,,,,,60000,,,Y,,,,,0
6317581,F,IdentityCard,Single,49,Has,Master,N,,,,,100000,,,Y,,,,,0
6317594,F,IdentityCard,,36,Has,AssociateDegree,,,,,,30000,,,Y,,,,,0
3916298,F,IdentityCard,,40,No,AssociateDegree,,,,,,40000,,,Y,,,,,0
3916301,M,IdentityCard,Single,28,Has,AssociateDegree,N,,,,,80000,,,Y,,,,,0
3916312,M,IdentityCard,Single,30,Has,AssociateDegree,Y,ApplyerOwn,N,CurrAddr,Local,80000,Revenue,10,Y,,,,,0
3916319,F,IdentityCard,,45,Has,Bachelor,,,,,,40000,,,Y,,,,,0
3916323,M,IdentityCard,Married,37,Has,SeniorMiddleSchool,N,,,,,100000,,,Y,,,,,0
3916328,F,,,,,,,,,,,0,,,N,,,,,0
3916331,M,IdentityCard,Married,47,Has,AssociateDegree,Y,ApplyerOwn,N,CurrAddr,Local,120000,,,Y,,,,,0
3916336,F,IdentityCard,,34,Has,AssociateDegree,,,,,,100000,,,Y,,,,,0
3916348,M,IdentityCard,Single,32,Has,Bachelor,N,,,,,50000,,,Y,,,,,0
3916354,F,IdentityCard,Married,52,Has,Bachelor,Y,ApplyerOwn,N,CurrAddr,Local,60000,,,Y,,,,,0
3916362,M,IdentityCard,,37,No,AssociateDegree,,,,,,50000,,,N,,,,,0
3916371,F,IdentityCard,,37,No,SeniorMiddleSchool,,,,,,30000,,,Y,,,,,0
3916384,M,IdentityCard,Single,26,Has,AssociateDegree,N,,,,Local,50000,,,Y,,,,,0
6317627,F,IdentityCard,,38,Has,SeniorMiddleSchool,,,,,,100000,,,Y,,,,,0
6317637,M,IdentityCard,,35,Has,SeniorMiddleSchool,,,,,,60000,,,Y,,,,,0
6317652,M,IdentityCard,Single,42,Has,AssociateDegree,N,,,,,60000,,,Y,,,,,0
6317659,F,IdentityCard,,40,Has,SecondaryTechnology,,,,,,150000,,,N,,,,,0
6317666,F,IdentityCard,,46,No,JuniormiddleSchool,,,,,,0,,,Y,,,,,0
6317677,M,IdentityCard,Married,48,Has,Bachelor,N,,,,,120000,,,Y,,,,,0
6317691,F,IdentityCard,,40,Has,AssociateDegree,,,,,,80000,,,Y,,,,,0
6317701,F,IdentityCard,,48,Has,SeniorMiddleSchool,,,,,,100000,,,Y,,,,,0
6317712,F,IdentityCard,,31,Has,SecondaryTechnology,,,,,,60000,,,Y,,,,,0
3916389,M,IdentityCard,,30,Has,AssociateDegree,,,,,,80000,,,Y,,,,,0
3916402,M,IdentityCard,Single,25,Has,SeniorMiddleSchool,N,,,,,60000,,,Y,,,,,0
3916407,F,IdentityCard,,54,Has,JuniormiddleSchool,,,,,,100000,,,Y,,,,,0
3916419,F,IdentityCard,,38,Has,AssociateDegree,,,,,,100000,,,Y,,,,,0
3916433,F,IdentityCard,,32,Has,AssociateDegree,,,,,,40000,,,Y,,,,,0
3916435,M,IdentityCard,Married,39,Other,Bachelor,N,,,,Local,300000,,,Y,,,,,0
3916450,F,IdentityCard,Single,32,Has,AssociateDegree,Y,ApplyerOwn,N,CurrAddr,Local,200000,,,Y,,,,,0
3916455,F,IdentityCard,,50,Has,SeniorMiddleSchool,,,,,,50000,,,Y,,,,,0
3916462,M,IdentityCard,Single,28,Has,SeniorMiddleSchool,N,,,,,70000,,,Y,,,,,0
3916480,M,IdentityCard,,36,Has,AssociateDegree,,,,,,48000,,,Y,,,,,0
6471456,F,IdentityCard,Single,55,No,AssociateDegree,N,,,,,0,,,N,,,,,0
6471469,M,IdentityCard,Single,32,Has,AssociateDegree,N,,,,,100000,,,Y,,,,,0
6471470,M,,,,,,,,,,,0,,,N,,,,,0
6471485,M,IdentityCard,Married,38,Has,AssociateDegree,Y,ApplyerOwn,N,CurrAddr,Local,100000,,,Y,,,,,0
6471493,M,IdentityCard,Married,51,Has,Technology,Y,AllOwn,N,RegiAddr,Alloparty,60000,,,Y,,,,,0
5064104,M,IdentityCard,Married,36,Has,AssociateDegree,N,,,,,60000,,,Y,,,,,0
5064110,M,IdentityCard,Single,29,Has,AssociateDegree,N,,,,,70000,,,Y,,,,,0
6471523,F,IdentityCard,,37,No,JuniormiddleSchool,,,,,,40000,,,N,,,,,0
5063932,F,IdentityCard,Single,29,Has,Bachelor,N,,,,,100000,,,Y,,,,,0
5063936,F,IdentityCard,,54,Has,AssociateDegree,,,,,,100000,,,Y,,,,,0
5063948,M,IdentityCard,Single,39,Has,Technology,N,,,,,100000,Revenue,10,Y,,,,,0
5063952,F,IdentityCard,,46,Has,SeniorMiddleSchool,,,,,,100000,,,Y,,,,,0
5063962,F,IdentityCard,,60,No,Bachelor,,,,,,100000,,,Y,,,,,0
5063967,F,IdentityCard,Single,50,Has,AssociateDegree,Y,ApplyerOwn,N,RegiAddr,Alloparty,100000,Salary,40,Y,,,,,0
5063974,M,IdentityCard,Married,58,Has,Bachelor,N,,,,,100000,,,Y,,,,,0
5064001,M,IdentityCard,Married,32,Has,Bachelor,N,,,,,90000,,,Y,,,,,0
5064007,F,IdentityCard,,50,Has,AssociateDegree,,,,,,80000,,,Y,,,,,0
6317725,M,IdentityCard,Single,29,Has,AssociateDegree,N,,,,,150000,,,Y,,,,,0
6317733,M,IdentityCard,Single,29,Has,AssociateDegree,N,,,,,60000,Salary,40,Y,,,,,0
6317740,F,IdentityCard,,34,No,JuniormiddleSchool,,,,,,80000,,,N,,,,,0
6317750,M,IdentityCard,Married,31,Has,Technology,N,,,,,90000,,,Y,Other,Other,95,E,0
6317763,M,IdentityCard,Married,35,Has,AssociateDegree,N,,,,,100000,,,Y,,,,,0
6317772,F,IdentityCard,,43,Has,AssociateDegree,,,,,,0,,,Y,,,,,0
6317782,M,IdentityCard,Married,33,Has,AssociateDegree,N,,,,,100000,,,Y,,,,,0
6317788,M,IdentityCard,Single,41,Has,SecondaryTechnology,N,,,,,200000,Revenue,20,Y,,,,,0
6317807,M,IdentityCard,Married,30,Has,Bachelor,Y,AllOwn,,RegiAddr,Alloparty,60000,,,Y,,,,,0
6317811,F,IdentityCard,,51,Has,SecondaryTechnology,,,,,,0,,,Y,,,,,0
3916491,M,IdentityCard,Married,50,Has,SeniorMiddleSchool,N,,,,,120000,Revenue,10,Y,,,,,0
3916497,F,IdentityCard,,33,Has,SeniorMiddleSchool,,,,,,50000,,,Y,,,,,0
3916510,F,IdentityCard,Married,32,Has,Bachelor,N,,,,,50000,,,Y,,,,,0
3916514,M,IdentityCard,Married,57,Has,AssociateDegree,Y,AllOwn,N,CurrAddr,Local,150000,,,Y,,,,,0
3916524,F,IdentityCard,,43,No,JuniormiddleSchool,,,,,,200000,,,Y,,,,,0
3916528,M,IdentityCard,Single,41,Has,AssociateDegree,N,,,,,60000,,,Y,,,,,0
3916543,F,IdentityCard,,46,Has,SeniorMiddleSchool,,,,,,50000,,,Y,,,,,0
3916547,F,IdentityCard,,40,No,AssociateDegree,,,,,,40000,,,N,,,,,0
3916554,M,IdentityCard,Single,39,Has,SeniorMiddleSchool,N,,,,,50000,,,Y,,,,,0
3916558,F,IdentityCard,,32,Has,AssociateDegree,,,,,,60000,,,Y,,,,,0
3916563,M,IdentityCard,Single,34,Has,AssociateDegree,Y,ApplyerOwn,N,CurrAddr,Local,50000,,,Y,,,,,0
3916574,F,IdentityCard,,34,Has,AssociateDegree,,,,,,60000,,,Y,,,,,0
3916577,F,IdentityCard,,42,Has,SecondaryTechnology,,,,,,100000,,,N,Clerk,Seniormanager,55,,0
3916589,M,IdentityCard,Married,36,Has,Bachelor,Y,AllOwn,Y,CurrAddr,Local,100000,,,Y,,,,,0
6471582,F,IdentityCard,,46,Has,AssociateDegree,,,,,,10000,,,Y,,,,,0
6471593,M,IdentityCard,,40,Has,SecondaryTechnology,,,,,,100000,,,Y,,,,,0
6471622,M,IdentityCard,Married,36,Has,AssociateDegree,N,,,,Local,200000,,,Y,,,,,0
6471631,F,IdentityCard,Single,32,Has,AssociateDegree,Y,WithOtherOwn,N,CurrAddr,Local,60000,,,Y,,,,,0
5064032,M,IdentityCard,,37,Has,Bachelor,,,,,,200000,,,N,,,,,0
5064048,F,IdentityCard,Married,39,Has,AssociateDegree,N,,,,,100000,Salary,40,Y,,,,,0
5064063,F,IdentityCard,,44,Has,AssociateDegree,,,,,,0,,,Y,,,,,0
5064073,M,IdentityCard,,50,,,,,,,,0,,,N,,,,,0
5064079,M,IdentityCard,Married,40,Has,SecondaryTechnology,N,,,,,100000,,,Y,,,,,0
5064094,F,IdentityCard,,53,Has,AssociateDegree,,,,,,100000,,,Y,,,,,0
6318026,F,IdentityCard,,29,Has,AssociateDegree,,,,,,120000,,,Y,,,,,0
6318031,F,IdentityCard,Single,39,Has,SeniorMiddleSchool,N,,,,,60000,,,Y,,,,,0
6318041,F,IdentityCard,,53,No,AssociateDegree,,,,,,0,,,Y,,,,,0
6318050,M,IdentityCard,,32,No,AssociateDegree,,,,,,60000,,,N,,,,,0
6318059,F,IdentityCard,,53,Has,AssociateDegree,,,,,,120000,,,Y,,,,,0
6318066,F,IdentityCard,Married,35,Has,SeniorMiddleSchool,N,,,,,100000,,,Y,,,,,0
6318098,M,IdentityCard,Single,26,Has,AssociateDegree,Y,ApplyerOwn,Y,CurrAddr,Local,80000,Salary,40,Y,,,,,0
6318105,F,,,,,,,,,,,0,,,N,,,,,0
6318118,M,IdentityCard,Single,29,Has,JuniormiddleSchool,Y,ApplyerOwn,N,CurrAddr,Local,60000,,,Y,AgriForestFarmFish,Eployee,158,A,0
3916794,M,IdentityCard,Single,48,Has,Master,N,,,,,100000,,,Y,,,,,0
3916797,M,IdentityCard,,66,,,,,,,,0,,,N,,,,,0
3916803,F,IdentityCard,,50,No,AssociateDegree,,,,,,50000,,,Y,,,,,0
3916809,M,MilitaryOfficerCard,,38,Has,AssociateDegree,,,,,,80000,,,N,,,,,0
3916819,F,IdentityCard,,35,Has,Bachelor,,,,,,0,,,Y,,,,,0
3916828,M,IdentityCard,Married,34,Has,AssociateDegree,N,,,,,120000,Salary,40,Y,,,,,0
3916834,M,IdentityCard,,48,Has,Bachelor,,,,,,150000,,,Y,,,,,0
3916841,M,IdentityCard,Married,52,Has,PrimarySchool,N,,,,,150000,,,Y,,,,,0
6317832,M,IdentityCard,,33,Has,AssociateDegree,,,,,,100000,,,Y,,,,,0
6317836,F,IdentityCard,,32,Has,SeniorMiddleSchool,,,,,,70000,,,Y,,,,,0
6317846,M,IdentityCard,Single,35,Has,AssociateDegree,Y,ApplyerOwn,N,CurrAddr,Local,60000,,,Y,,,,,0
6317874,F,IdentityCard,,32,Has,AssociateDegree,,,,,,60000,,,Y,,,,,0
6317886,F,IdentityCard,,52,Has,SeniorMiddleSchool,,,,,,30000,,,Y,,,,,0
6317897,M,IdentityCard,Married,31,Has,SeniorMiddleSchool,Y,ApplyerOwn,N,RegiAddr,Local,80000,,,Y,,,,,0
3916593,M,IdentityCard,Single,31,Has,AssociateDegree,N,,,,,80000,,,Y,,,,,0
3916599,M,IdentityCard,,47,Has,JuniormiddleSchool,,,,,,70000,,,Y,,,,,0
3916607,M,IdentityCard,Single,52,Has,AssociateDegree,N,,,,,80000,Salary,30,Y,,,,,0
3916614,F,IdentityCard,Single,36,Has,AssociateDegree,Y,ApplyerOwn,N,CurrAddr,Local,50000,,,Y,Clerk,Manage,96,F,0
3916627,F,IdentityCard,,34,Has,AssociateDegree,,,,,,30000,,,Y,,,,,0
3916638,F,IdentityCard,Single,57,Has,AssociateDegree,N,,,,,60000,Salary,40,Y,,,,,0
3916645,M,IdentityCard,Single,30,Has,AssociateDegree,Y,Other,N,CurrAddr,Local,50000,Salary,40,Y,CommerceService,Eployee,85,E,0
3916651,F,IdentityCard,,32,Has,AssociateDegree,,,,,,30000,,,Y,,,,,0
3916659,F,IdentityCard,Single,34,Has,AssociateDegree,N,,,,,80000,,,Y,,,,,0
3916666,M,IdentityCard,,38,Has,AssociateDegree,,,,,,80000,,,Y,,,,,0
3916684,M,IdentityCard,,45,No,AssociateDegree,,,,,,100000,,,Y,CommerceService,Eployee,206,,0
6471644,F,IdentityCard,Married,41,Has,SeniorMiddleSchool,Y,ApplyerOwn,N,CurrAddr,Local,70000,Salary,40,Y,,,,,0
6471653,M,IdentityCard,Married,57,Has,AssociateDegree,N,,,,Local,90000,,,Y,Clerk,Eployee,86,C,0
6471657,F,,,,,,,,,,,0,,,N,,,,,0
6471672,F,MilitaryOfficerCard,,,,,,,,,,0,,,N,,,,,0
6471682,M,IdentityCard,,8,Has,JuniormiddleSchool,,,,,,150000,,,Y,,,,,0
6471695,M,IdentityCard,,30,Has,AssociateDegree,,,,,,150000,,,Y,,,,,0
6471723,M,IdentityCard,Single,30,Has,Bachelor,Y,WithOtherOwn,N,CurrAddr,Local,100000,,,Y,Clerk,Eployee,65,S,0
5064120,F,IdentityCard,,31,No,Bachelor,,,,,,60000,,,Y,,,,,0
5064121,M,IdentityCard,Married,32,Has,Bachelor,N,,,,,80000,,,Y,,,,,0
5064133,M,IdentityCard,Single,31,Has,Technology,N,,,,Local,70000,,,Y,,,,,0
5064158,M,IdentityCard,,35,Has,AssociateDegree,,,,,,100000,,,Y,,,,,0
5064165,M,IdentityCard,,45,No,Bachelor,,,,,,130000,,,Y,,,,,0
5064169,F,,,,,,,,,,,0,,,N,,,,,0
5064171,F,IdentityCard,Married,30,Has,AssociateDegree,Y,SpouseOwn,Y,CurrAddr,Local,70000,Salary,40,Y,,,,,0
5064172,F,IdentityCard,,39,No,Bachelor,,,,,,50000,,,N,,,,,0
5064195,M,IdentityCard,Married,32,Has,SecondaryTechnology,N,,,,Local,100000,,,Y,,,,,0
5064205,M,IdentityCard,,33,Has,SeniorMiddleSchool,,,,,,80000,,,Y,,,,,0
5064209,M,IdentityCard,,42,Has,AssociateDegree,,,,,,200000,,,Y,,,,,0
6317941,M,IdentityCard,Single,31,Has,JuniormiddleSchool,Y,ApplyerOwn,N,CurrAddr,Local,100000,,,Y,,,,,0
6317955,M,IdentityCard,Married,30,Has,SeniorMiddleSchool,N,,,,,150000,Salary,40,Y,,,,,0
6317960,F,IdentityCard,,29,,,,,,,,0,,,N,,,,,0
6317973,F,IdentityCard,,58,No,SeniorMiddleSchool,,,,,,24000,,,Y,,,,,0
6317979,M,IdentityCard,Single,32,Has,AssociateDegree,Y,ApplyerOwn,N,CurrAddr,Local,100000,,,Y,,,,,0
6317990,M,IdentityCard,,52,No,JuniormiddleSchool,,,,,,150000,,,N,,,,,0
6318017,F,IdentityCard,,34,Has,SecondaryTechnology,,,,,,80000,,,Y,,,,,0
3916702,F,IdentityCard,,34,Has,JuniormiddleSchool,,,,,,60000,,,Y,,,,,0
3916711,F,IdentityCard,,39,No,AssociateDegree,,,,,,80000,,,N,,,,,0
3916714,M,IdentityCard,,34,Has,Bachelor,,,,,,70000,,,Y,,,,,0
3916724,F,IdentityCard,,42,No,Bachelor,,,,,,40000,,,Y,,,,,0
3916727,F,IdentityCard,,37,No,AssociateDegree,,,,,,30000,,,N,,,,,0
3916729,F,IdentityCard,,34,No,AssociateDegree,,,,,,40000,,,Y,GovernmentEmployee,Eployee,90,,0
3916734,F,IdentityCard,,33,No,JuniormiddleSchool,,,,,,35000,,,Y,,,,,0
3916740,F,IdentityCard,,63,No,JuniormiddleSchool,,,,,,0,,,Y,,,,,0
3916745,F,IdentityCard,Single,31,Has,Bachelor,N,,,,,80000,,,Y,,,,,0
3916759,M,IdentityCard,Married,34,Has,Technology,N,,,,,73000,Salary,40,Y,,,,,0
3916766,F,,,,,,,,,,,0,,,N,,,,,0
3916774,M,IdentityCard,Married,39,Has,AssociateDegree,Y,ApplyerOwn,N,CurrAddr,Local,100000,,,Y,,,,,0
3916781,F,IdentityCard,Single,33,Has,AssociateDegree,Y,ApplyerOwn,N,RegiAddr,Local,100000,,,Y,,,,,0
6471754,F,IdentityCard,,33,No,Bachelor,,,,,,50000,,,Y,,,,,0
6471761,M,IdentityCard,Single,35,Has,AssociateDegree,N,,,,,80000,,,Y,,,,,0
